Fork_length,Total_length,Weight,Sex,Maturity,Age,ageplus1
653,692,2100,2,2,7,8
721,766,2500,2,2,6,7
594,632,1400,2,2,4,5
423,451,525,2,1,2,3
430,457,500,2,1,2,3
439,468,515,2,1,3,4
335,350,245,1,1,2,3
681,720,2120,2,2,6,7
664,706,1850,2,2,5,6
551,585,1400,2,2,4,5
728,765,2800,2,2,5,6
702,745,3100,2,2,6,7
545,580,1075,1,2,4,5
545,575,925,2,1,5,6
586,618,1375,2,1,6,7
691,733,2450,2,2,7,8
721,761,3000,2,2,8,9
555,596,1080,2,1,3,4
362,389,300,1,1,2,3
416,456,450,1,1,2,3
466,495,660,1,1,2,3
277,295,130,1,1,1,2
460,492,660,1,1,4,5
406,436,450,1,2,3,4
751,791,3200,1,2,9,10
511,540,860,2,2,3,4
616,655,1700,2,2,5,6
425,456,480,2,2,2,3
485,517,800,1,2,3,4
525,560,1000,2,2,5,6
590,628,1420,1,2,5,6
482,517,800,1,2,3,4
578,614,1340,1,2,4,5
394,420,455,1,2,2,3
714,754,3450,2,2,6,7
565,598,1280,2,2,5,6
563,596,1240,1,2,5,6
790,790,3350,2,2,8,9
395,421,335,1,2,2,3
856,901,5100,2,2,9,10
770,810,3400,2,2,8,9
645,681,1800,2,1,5,6
376,402,355,2,2,2,3
278,297,135,1,1,1,2
600,641,1580,2,2,7,8
708,748,2500,2,2,6,7
722,764,2800,2,2,6,7
726,764,3050,2,2,7,8
783,819,3900,2,2,7,8
485,518,750,1,2,4,5
734,775,3250,2,2,7,8
709,745,2625,1,2,6,7
716,751,2225,2,2,6,7
405,430,400,2,2,2,3
356,379,300,1,2,2,3
376,400,350,2,1,2,3
742,774,3500,2,2,7,8
693,727,2225,2,2,6,7
679,708,2375,2,2,6,7
611,644,1975,1,2,7,8
541,575,1140,2,2,3,4
370,396,335,1,2,2,3
408,431,465,1,2,2,3
485,515,655,1,2,4,5
435,467,395,1,2,2,3
594,630,995,2,2,2,3
420,452,335,1,1,2,3
802,840,4300,2,2,9,10
854,891,4700,2,2,8,9
631,663,2150,1,2,6,7
638,676,1700,2,1,7,8
685,720,2360,1,2,7,8
386,412,420,1,2,2,3
398,420,425,1,2,2,3
707,740,2725,2,2,2,3
389,416,370,1,2,8,9
424,451,580,1,2,2,3
293,312,170,1,2,1,2
251,269,105,2,1,1,2
550,581,1240,1,2,6,7
565,600,1400,2,1,4,5
827,865,4800,2,2,7,8
537,570,960,1,2,5,6
715,755,2100,2,2,5,6
700,742,2700,2,2,6,7
552,587,950,2,2,4,5
560,594,1350,1,2,6,7
297,307,135,2,1,1,2
643,685,1850,2,2,6,7
589,628,1160,2,2,4,5
620,655,1600,2,2,5,6
425,450,460,1,2,2,3
439,472,540,2,2,4,5
460,491,700,1,2,3,4
665,701,1910,2,2,6,7
698,738,2480,2,2,6,7
338,358,235,2,1,1,2
598,635,1660,2,2,5,6
669,706,2050,2,2,5,6
868,915,5600,2,2,7,8
640,680,1810,2,1,5,6
480,510,760,2,2,3,4
410,440,450,1,2,2,3
830,862,4725,2,2,8,9
777,818,4125,2,2,5,6
647,680,1740,2,2,7,8
430,457,555,1,2,2,3
372,399,350,2,1,2,3
402,432,450,1,2,2,3
488,520,810,2,2,3,4
465,495,590,1,2,4,5
482,510,640,1,2,4,5
435,466,530,1,2,2,3
536,571,960,2,2,4,5
445,471,550,2,2,2,3
391,417,370,2,1,2,3
419,449,500,2,2,2,3
420,448,500,1,2,2,3
472,504,710,2,2,2,3
636,670,1840,2,2,5,6
659,699,1590,2,1,7,8
492,521,780,2,2,3,4
487,516,710,1,2,4,5
527,560,915,1,2,4,5
523,555,1020,1,2,4,5
729,761,3850,2,2,8,9
941,985,6500,2,2,10,11
928,974,6600,2,2,10,11
416,443,475,2,1,2,3
422,466,510,2,2,2,3
469,499,745,2,2,2,3
547,588,1120,2,2,4,5
535,569,1160,2,2,4,5
574,609,1400,1,2,7,8
553,570,1150,2,2,4,5
682,720,2220,2,2,5,6
